iter	Passed	Remaining
0	0	904
1	1	891
2	2	862
3	3	852
4	4	825
5	4	815
6	5	839
7	6	839
8	7	832
9	8	820
10	9	818
11	9	812
12	10	800
13	11	791
14	11	784
15	12	775
16	13	774
17	14	769
18	14	765
19	15	764
20	16	765
21	17	763
22	17	760
23	18	753
24	19	748
25	19	747
26	20	756
27	21	760
28	22	757
29	23	754
30	24	753
31	24	752
32	25	749
33	26	750
34	27	748
35	27	746
36	28	743
37	29	739
38	29	737
39	30	735
40	31	734
41	32	744
42	33	742
43	34	742
44	34	741
45	35	738
46	36	736
47	37	736
48	39	759
49	39	758
50	40	756
51	41	756
52	42	754
53	42	752
54	43	751
55	44	748
56	45	747
57	45	745
58	46	744
59	47	741
60	48	740
61	48	740
62	49	740
63	50	739
64	51	738
65	52	739
66	52	737
67	53	738
68	54	739
69	55	738
70	56	736
71	56	733
72	57	731
73	58	729
74	58	726
75	59	724
76	60	722
77	60	720
78	61	718
79	62	717
80	63	715
81	63	712
82	64	707
83	65	710
84	66	712
85	66	711
86	67	711
87	68	709
88	69	708
89	69	706
90	70	703
91	71	702
92	71	700
93	72	699
94	73	697
95	73	695
96	74	693
97	75	691
98	75	689
99	76	687
100	77	686
101	77	684
102	78	683
103	79	682
104	80	682
105	81	683
106	81	682
107	82	681
108	83	679
109	83	677
110	84	676
111	85	675
112	85	674
113	86	672
114	87	671
115	87	670
116	88	667
117	89	666
118	89	664
119	90	662
120	91	661
121	91	659
122	92	657
123	93	657
124	93	656
125	94	655
126	95	653
127	96	654
128	96	653
129	97	652
130	98	651
131	98	649
132	99	648
133	100	647
134	100	646
135	101	644
136	102	643
137	102	642
138	103	641
139	104	640
140	104	638
141	105	636
142	106	635
143	106	634
144	107	633
145	108	632
146	108	630
147	109	629
148	110	629
149	110	628
150	111	627
151	112	626
152	113	626
153	113	625
154	114	624
155	115	623
156	115	622
157	116	621
158	117	620
159	118	619
160	118	617
161	119	616
162	119	615
163	120	614
164	121	612
165	121	612
166	122	611
167	123	610
168	123	609
169	124	608
170	125	607
171	126	606
172	126	605
173	127	604
174	128	603
175	128	603
176	129	602
177	130	601
178	131	601
179	131	600
180	132	598
181	133	598
182	133	597
183	134	596
184	135	595
185	135	594
186	136	592
187	137	592
188	137	590
189	138	589
190	138	588
191	139	587
192	140	586
193	141	586
194	141	585
195	142	584
196	143	583
197	143	582
198	144	581
199	145	580
200	145	580
201	146	578
202	147	578
203	147	577
204	148	576
205	149	575
206	149	574
207	150	573
208	151	572
209	151	571
210	152	570
211	153	569
212	153	568
213	154	568
214	155	567
215	156	566
216	156	565
217	157	564
218	158	564
219	158	563
220	159	562
221	160	561
222	161	560
223	161	560
224	162	559
225	163	558
226	163	557
227	164	556
228	165	555
229	165	555
230	166	553
231	167	553
232	167	552
233	168	551
234	169	550
235	169	549
236	170	548
237	171	548
238	171	547
239	172	546
240	173	545
241	173	544
242	174	543
243	175	543
244	175	542
245	176	541
246	177	541
247	178	540
248	178	539
249	179	538
250	180	537
251	180	537
252	181	536
253	182	535
254	182	534
255	183	533
256	184	532
257	184	531
258	186	532
259	187	532
260	187	532
261	188	531
262	189	531
263	190	530
264	190	529
265	191	528
266	192	528
267	193	527
268	193	526
269	194	526
270	195	525
271	196	524
272	196	523
273	197	523
274	198	522
275	198	521
276	210	549
277	211	548
278	212	547
279	212	547
280	213	546
281	214	545
282	214	544
283	215	543
284	216	542
285	217	541
286	217	540
287	218	540
288	219	539
289	220	538
290	220	538
291	221	537
292	222	536
293	223	535
294	223	534
295	224	533
296	225	532
297	225	531
298	226	531
299	227	530
300	227	529
301	228	528
302	229	527
303	230	526
304	230	526
305	231	526
306	232	525
307	233	524
308	234	523
309	234	522
310	235	521
311	236	520
312	236	519
313	237	519
314	238	518
315	238	517
316	239	516
317	240	515
318	241	514
319	241	513
320	242	512
321	243	511
322	243	510
323	244	509
324	244	508
325	246	508
326	247	509
327	248	508
328	249	508
329	249	507
330	250	506
331	251	505
332	251	504
333	252	503
334	253	502
335	253	501
336	254	500
337	255	499
338	255	498
339	256	498
340	257	497
341	257	496
342	258	495
343	259	494
344	259	493
345	260	492
346	261	491
347	262	491
348	263	490
349	263	490
350	264	489
351	265	488
352	265	487
353	266	486
354	267	485
355	267	484
356	268	483
357	269	482
358	269	482
359	270	481
360	271	480
361	271	479
362	272	478
363	273	477
364	273	476
365	274	475
366	275	474
367	275	473
368	276	473
369	277	472
370	278	471
371	279	471
372	279	470
373	280	469
374	281	468
375	281	467
376	282	466
377	283	465
378	283	465
379	284	464
380	285	463
381	285	462
382	286	461
383	287	460
384	287	459
385	288	458
386	289	458
387	289	457
388	290	456
389	291	455
390	292	455
391	293	454
392	293	453
393	294	452
394	295	452
395	295	451
396	296	450
397	297	449
398	297	448
399	298	447
400	299	446
401	299	445
402	300	445
403	301	444
404	301	443
405	302	442
406	303	441
407	303	440
408	304	440
409	305	439
410	305	438
411	306	437
412	307	436
413	308	436
414	309	435
415	309	434
416	310	433
417	311	433
418	311	432
419	312	431
420	313	430
421	313	429
422	314	429
423	315	428
424	316	428
425	317	427
426	317	426
427	318	425
428	319	425
429	320	424
430	320	423
431	321	422
432	322	421
